"student_name","total_submits","successful_submits","last_login_date","status"
,18360,3744,2022-04-11,забросил учебу
Евгения Куликов,16368,2976,2022-05-24,забросил учебу
Платон Зорина,11520,6525,2022-05-24,забросил учебу
Варвара Синицына,11357,5330,2022-05-24,забросил учебу
,10560,4320,2022-05-24,забросил учебу
,5929,3332,2022-05-24,забросил учебу
Елизавета Климов,5730,2250,2022-05-20,забросил учебу
София Горелов,4680,2328,2022-05-22,забросил учебу
Никита Ермаков,4425,2550,2022-05-24,забросил учебу
Демид Артемова,4131,2040,2022-04-19,забросил учебу
Виктор Макаров,4011,1911,2022-05-20,забросил учебу
Никита Константинов,3811,2294,2022-04-02,забросил учебу
Даниил Киселев,3584,1952,2022-05-16,забросил учебу
София Филатова,2988,1368,2022-01-31,забросил учебу
Аделина Булатов,2635,1224,2022-04-25,забросил учебу
Ангелина Захарова,2196,1236,2022-04-20,забросил учебу
Георгий Серова,1896,936,2022-04-01,забросил учебу
Платон Миронова,1616,976,2022-04-14,забросил учебу
Таисия Смирнова,1462,833,2022-05-01,забросил учебу
,1386,756,2022-05-10,забросил учебу
,1100,925,2022-01-04,забросил учебу
София Богданова,1089,539,2022-04-27,забросил учебу
Егор Фадеева,924,572,2022-05-05,забросил учебу
Серафим Захарова,891,440,2022-03-31,забросил учебу
,783,333,2022-01-19,забросил учебу
,728,280,2022-02-05,забросил учебу
,675,345,2022-05-15,забросил учебу
Никита Васильев,658,532,2021-12-19,забросил учебу
Марк Архипов,650,468,2022-03-30,забросил учебу
Михаил Киселев,640,368,2022-02-19,забросил учебу
,623,336,2022-02-02,забросил учебу
,616,407,2022-04-16,забросил учебу
Маргарита Макаров,609,273,2022-02-12,забросил учебу
Ангелина Кулагин,608,320,2022-04-09,забросил учебу
София Щербаков,560,310,2022-04-04,забросил учебу
Максим Киселев,530,360,2022-02-07,забросил учебу
,486,324,2022-04-29,забросил учебу
,480,360,2022-04-21,забросил учебу
Максим Беликов,473,341,2022-04-27,забросил учебу
Татьяна Исаева,462,329,2022-05-15,забросил учебу
Даниил Галкин,440,380,2022-01-20,забросил учебу
,440,260,2022-03-02,забросил учебу
Ангелина Афанасьев,420,132,2022-05-23,забросил учебу
Варвара Дьяконова,407,396,2022-02-14,забросил учебу
Глеб Миронова,392,252,2021-12-26,забросил учебу
,378,360,2022-04-16,забросил учебу
Дарья Лосев,376,240,2022-04-28,забросил учебу
Мирон Парамонова,356,164,2022-04-07,забросил учебу
Платон Старостин,312,234,2022-02-24,забросил учебу
Георгий Морозов,305,160,2022-03-30,забросил учебу
Максим Бирюкова,300,220,2022-05-23,забросил учебу
Степан Гончарова,248,140,2021-12-21,забросил учебу
Мирон Яковлев,222,150,2022-02-06,забросил учебу
Глеб Ермаков,216,168,2022-01-28,забросил учебу
Елизавета Морозов,216,80,2022-04-26,забросил учебу
,190,40,2022-04-30,забросил учебу
Ярослав Сергеева,184,116,2022-04-17,забросил учебу
Глеб Кузина,165,99,2022-03-15,забросил учебу
Анна Нечаева,162,87,2022-01-28,забросил учебу
Алиса Демина,140,56,2022-03-30,забросил учебу
Андрей Фадеева,138,90,2022-01-05,забросил учебу
Елизавета Семенов,132,124,2022-01-05,забросил учебу
,132,114,2022-04-25,забросил учебу
,129,63,2022-03-21,забросил учебу
Филипп Киселев,128,72,2021-12-03,забросил учебу
Никита Леонтьева,124,52,2022-02-04,забросил учебу
Варвара Воронцова,123,51,2022-03-25,забросил учебу
Александр Воронцова,120,96,2022-03-30,забросил учебу
Даниил Климов,120,42,2022-02-18,забросил учебу
Варвара Антонов,112,52,2022-04-24,забросил учебу
Кирилл Сергеева,110,72,2022-04-19,забросил учебу
Анна Старостин,110,80,2022-04-17,забросил учебу
Ангелина Морозов,100,48,2021-12-07,забросил учебу
Вероника Сергеева,90,40,2022-04-19,забросил учебу
Виктория Антонов,86,56,2021-11-29,забросил учебу
Дарья Демина,84,64,2022-01-01,забросил учебу
Елизавета Парамонова,84,76,2022-04-19,забросил учебу
Даниил Горшков,81,57,2021-12-12,забросил учебу
Даниэль Кулагин,80,15,2022-04-27,забросил учебу
,72,60,2022-01-23,забросил учебу
Романова Ермилова,72,45,2022-01-21,забросил учебу
,60,55,2022-01-11,забросил учебу
Илья Исаева,56,24,2022-02-23,забросил учебу
Татьяна Иван ,48,22,2021-12-20,забросил учебу
Дмитрий Горелов,42,14,2022-04-15,забросил учебу
,24,20,2022-02-22,забросил учебу
,24,16,2022-01-30,забросил учебу
Максим Смирнова,21,12,2022-03-28,забросил учебу
Степан Старостин,20,15,2022-04-12,забросил учебу
Валерия Антонов,17,17,2022-05-24,забросил учебу
Степан Греков,14,8,2021-12-08,забросил учебу
Марк Галкин,10,8,2022-02-07,забросил учебу
Платон Леонтьев,7,3,2022-02-07,забросил учебу
Вероника Киселев,4,4,2021-12-07,забросил учебу
Фёдор Киселев,4,2,2022-01-05,забросил учебу
Таисия Мальцева,3,3,2021-11-28,забросил учебу
Артём Васильев,2,2,2022-04-14,забросил учебу
